Snake,Nstar,Nnode,sri_final_grade,l_median,b_median,parallax_median,Loga_part_p50,median_pml_lsr,median_pmb_lsr
172,177,3,Gold,28.88118580650598,-11.163862994271188,0.6040894017981823,9.158484893939391,-4.010993672669469,1.220059627828466
173,393,6,Bronze,235.97201509001567,14.88459183262992,0.5801139062466141,8.882194413043479,-3.0082585650682594,-1.1717916873286076
174,149,3,Gold,85.63682613619437,4.421695630184364,0.3655923095984283,6.767571038732394,-5.720451630896981,0.0671939291977758
175,161,2,Silver,282.54706722646773,2.585363726885141,0.3712266037896873,6.950430651388889,-6.723439152956883,-0.118758739670145
176,137,3,Bronze,294.5092602623233,-8.419450641898417,0.6286142003922848,9.04290668181818,-8.121098399830375,0.380279313746706
177,765,10,Bronze,89.88458524331458,8.380497982343709,0.5471709245666291,8.876744159574468,-5.9044521027554495,0.1269336239090788
178,871,10,Bronze,278.33196864890726,8.116840112516035,0.627330642660049,8.799648987603305,-8.32039610418088,-0.3467014422918979
179,159,3,Gold,48.45991531178113,15.601763022754902,0.6648809360816595,9.364837395833334,-5.352812953289018,0.5138643174208825
180,388,4,Gold,63.699125689668975,-9.420981602114423,0.4769151424670903,8.6342758,-5.246226173703718,0.3231762416017347
181,100,2,Gold,308.5316206046592,-15.61397935791473,0.560334735830947,9.469740296296296,-3.472200184138144,-0.8420107824734129
182,594,4,Silver,57.68063472454281,-2.2504168213962674,0.3719941733588594,6.680513723127036,-5.694058573399406,-0.1279794550026218
183,390,2,Gold,112.24435558241063,6.922399528454692,0.6615721692113263,8.769192,-6.467022018648871,0.6199945161655498
184,706,6,Silver,78.71082667392021,-3.3891376296544444,0.3419790985039482,6.607897324279835,-5.871146975561709,-0.0393864111723089
185,257,3,Gold,262.999915824555,-9.659664446393768,0.4433197384245967,8.52414,-3.060539943052312,0.0606266585245572
186,752,4,Gold,76.09086636070819,-3.9072465999929857,0.4563544534040734,7.000521501515151,-5.369885586356013,0.0275633097996478
187,178,3,Gold,326.9029647010744,15.615203236822058,1.1265585784311267,9.372235780487804,-6.985180554433331,0.3225678608868458
188,294,3,Gold,289.64401612405214,-22.13006124371177,0.9681753253663268,9.4809671875,-8.800953254266044,-0.1416000717400134
189,313,3,Gold,199.83682017293384,-1.5614534996229552,0.4403463309665534,7.306136345077721,0.1493377845467299,-0.4122197319245607
190,103,2,Silver,288.16273418204435,-21.652184519291257,0.8444418860136115,9.419868458333331,-6.7225668478642175,0.3592253823215822
191,165,2,Gold,282.5561090136258,-21.52042807813526,0.7731049506170089,9.464689,-5.349730960986255,-0.0739068605860021
192,193,3,Silver,75.61270342644553,17.880956927960316,0.7991791758275335,9.362659246268658,-7.738550903723686,-0.3986130813938679
193,264,3,Gold,313.38024873493185,-12.841387960915108,1.0062686788221198,8.317367,-1.8352752078141497,-0.1954234341136476
194,510,8,Bronze,51.3920772195858,26.48194156774348,0.9297613205416642,9.606217914285716,-2.740821179039655,-0.6506308166894211
195,158,3,Silver,125.90113100303049,12.113093519865105,0.8394087286184733,9.459260552631578,1.994180552183708,0.3993634424648655
196,420,3,Gold,250.41182210292573,10.527051736675949,0.7343152585789972,8.958896,-3.979612476304101,-0.787926201233159
197,565,3,Gold,336.7240162846607,-38.33441691089037,2.684233738124914,9.2724085,-19.25208241035476,-6.839696211413129
198,356,4,Gold,267.88650773986615,-18.23609545905514,0.7267956631924081,9.441829026315787,-6.011064138098641,1.199090603240911
199,121,2,Gold,96.51173530630588,-5.353853729854514,0.5846633396674751,8.758893,-6.09450565891312,0.1237049957737919
200,179,2,Gold,49.551664584378585,13.232124435230956,0.5336768018416721,9.111439372340426,-4.179909219884724,0.1109886223456786
201,338,2,Gold,319.5825910671671,-5.787679582098427,0.488844843595805,7.0528595291005285,-4.107451924214093,-0.687201424914699
202,158,3,Gold,281.75543250732505,-13.638960796474803,0.5760534594311735,9.35410275,-4.390698920112335,0.5031950888403429
203,1069,3,Gold,299.7291756861104,0.8478823947609692,0.5328724278906035,7.907207,-6.167836386419287,-0.2611362985790968
204,314,4,Gold,186.61820478669256,0.449091550400065,0.4887700291456904,7.312202791428572,0.7413604863069485,4.125724385087E-4
205,346,3,Gold,359.6860696277738,-0.4074135752280758,0.501085116949971,7.1893654,1.171647047447527,-1.1124794896999293
206,494,7,Bronze,294.6171638333374,-8.035274719310998,0.5828233979710922,8.767619208333333,-5.70158448324584,-0.4074682357596125
207,248,2,Gold,291.4829023745674,-11.029818049232013,0.6855428041204275,8.887206,-7.22983582563611,-0.5906943090763519
208,255,4,Silver,303.4385132053977,-8.147473968577087,0.5652195823236357,8.757199203389831,-6.082705888109246,-0.3895727796789576
209,171,3,Silver,337.5756100959066,10.117907596871069,0.6961592346395545,9.15095745,-2.5410170070196,0.2822945585290258
210,124,2,Gold,207.34861105570093,-35.805421457180046,1.2306551143704303,9.413735,4.003346360101412,3.365451751993299
211,101,2,Silver,154.2001292495139,-32.86471719637631,1.134112361545986,9.462441946078432,5.254695888700914,-2.071631134198937
212,805,6,Bronze,101.10591622242453,-4.069258815238071,0.3850360880195657,6.9008465,-5.18306479716887,-0.2186183793344991
213,423,5,Silver,179.14786613744013,-35.981087604813695,1.266550328077445,9.633508866071429,1.901031593179201,-2.6225790637731405
214,118,2,Silver,133.6088319201644,-24.601750572568225,1.1177612953834526,9.037533,-2.518575990082831,0.3700227298785215
